Electoral District (2013 Representation Order),Province/Territory,Population (2021 Census),% Filipinos,Number of Filipinos (2021 Census),Number of Filipinos (2016 Census),% of Population with Knowledge of French,Healthcare Workers (NOC Classification),Number of Recent Immigrants (2016-2021),Recent Immigrants from PH (2016-2021),Number of People with Bachelors Degree or Higher,Median Age,Bikol Mother Tongue,"Bisaya, n.o.s. Mother Tongue",Cebuano Mother Tongue,Hiligaynon Mother Tongue,Ilocano Mother Tongue,Kankanaey Mother Tongue,Kinaray-a Mother Tongue,Pampangan Mother Tongue,Pangasinan Mother Tongue,Tagalog Mother Tongue,Waray-Waray Mother Tongue,Second Most Spoken Philippine Language,"Healthcare Workers (per 100,000)",% of Recent Immigrants from PH (2016-2021),"Number of People with Bachelors Degree or Higher (per 100,000)",Filipino Growth Rate % (2016-2021),% Second Most Spoken Philippine Language,"Recent Migrants from the Philippines per 100,000"
Nipissing--Timiskaming,Ontario,89781,0.2,160,100,0.5,4235,355,10,12545,46.8,0,0,10,0,10,0,0,0,0,105,0,Cebuano & Ilocano,4717.03,2.82,13972.89,60.00,16,11.14
Northumberland--Peterborough South,Ontario,118756,0.5,540,365,0,4505,515,60,17180,50.4,0,5,15,0,30,0,0,5,0,235,0,Ilocano,3793.49,11.65,14466.64,47.95,10.34,50.52
Oakville,Ontario,122322,2.1,2535,2255,0.1,4140,6990,410,46270,45.2,0,20,45,20,105,5,0,25,10,1175,10,Ilocano,3384.51,5.87,37826.39,12.42,7.42,335.18
Oakville North--Burlington,Ontario,148936,1.8,2690,2240,0.1,5690,10865,205,56395,39.2,0,15,15,10,35,0,0,35,5,1110,5,Ilocano,3820.43,1.89,37865.26,20.09,2.85,137.64
Oshawa,Ontario,131067,2.4,3100,1350,0.1,4655,3315,255,17375,41.6,10,15,55,15,60,0,0,10,5,1225,0,Ilocano,3551.62,7.69,13256.58,129.63,4.3,194.56
Ottawa Centre,Ontario,126360,0.8,1035,810,0.7,5340,3985,190,63260,38,5,5,20,10,55,0,0,5,0,395,0,Ilocano,4226.02,4.77,50063.31,27.78,11.11,150.36
Orléans,Ontario,139309,1.2,1630,1290,2.8,5370,3990,245,40920,41.2,5,15,35,15,50,0,0,5,0,650,0,Ilocano,3854.74,6.14,29373.55,26.36,6.45,175.87
Ottawa South,Ontario,125090,2.2,2655,2325,1.7,5520,8420,515,39375,38.8,15,30,40,25,165,0,0,15,10,1265,5,Ilocano,4412.82,6.12,31477.34,14.19,10.51,411.70
Ottawa--Vanier,Ontario,118806,1.6,1900,1700,3.9,4280,6825,320,40280,40.4,5,40,75,30,110,0,5,0,0,1120,0,Ilocano,3602.51,4.69,33904.01,11.76,7.94,269.35
Ottawa West--Nepean,Ontario,116409,2.0,2275,2090,0.9,4405,7460,445,37360,40.4,5,20,35,30,105,5,5,15,10,895,10,Ilocano,3784.07,5.97,32093.74,8.85,9.25,382.27
Oxford,Ontario,124790,0.5,580,365,0,4420,1330,80,13445,41.6,0,5,20,5,10,0,0,0,0,270,5,Cebuano,3541.95,6.02,10774.10,58.90,6.33,64.11
Parkdale--High Park,Ontario,106750,2.7,2785,2800,0.1,4085,4465,395,45410,40.4,5,30,45,20,110,0,0,5,0,1195,5,Ilocano,3826.70,8.85,42538.64,-0.54,7.77,370.02
Parry Sound--Muskoka,Ontario,104494,0.2,230,160,0,3400,355,15,16070,54.4,0,0,5,5,0,0,0,0,0,95,0,Cebuano & Hiligaynon,3253.78,4.23,15378.87,43.75,9.52,14.35
Perth--Wellington,Ontario,113910,0.5,515,330,0,3870,1110,150,13225,41.2,0,5,15,0,40,0,0,0,5,235,0,Ilocano,3397.42,13.51,11610.04,56.06,13.33,131.68
Peterborough--Kawartha,Ontario,125478,0.5,625,460,0,5760,1310,160,22875,46.8,0,25,50,10,25,0,0,0,0,245,0,Cebuano,4590.45,12.21,18230.29,35.87,14.06,127.51
Pickering--Uxbridge,Ontario,120742,3.6,4275,3505,0.1,4070,2930,175,30140,41.6,5,10,55,25,75,0,10,15,5,1785,5,Ilocano,3370.82,5.97,24962.32,21.97,3.77,144.94
Renfrew--Nipissing--Pembroke,Ontario,107420,0.3,300,170,0.2,4315,435,20,12835,45.6,0,5,5,0,10,0,0,5,0,115,0,Ilocano,4016.94,4.60,11948.43,76.47,7.14,18.62
Richmond Hill,Ontario,114180,2.4,2785,2680,0,4485,7570,530,43860,45.6,0,20,40,30,100,0,0,10,5,1340,5,Ilocano,3928.01,7.00,38413.03,3.92,6.45,464.18
Carleton,Ontario,131375,0.7,915,580,0.3,5035,4605,95,40825,39.2,0,5,40,5,25,0,0,0,0,395,15,Cebuano,3832.54,2.06,31075.17,57.76,8.23,72.31
St. Catharines,Ontario,114782,1.4,1570,1220,0.1,4830,2810,170,20725,45.6,0,10,25,10,50,0,0,0,0,660,5,Ilocano,4207.98,6.05,18055.97,28.69,6.58,148.11
Toronto--St. Paul's,Ontario,116953,4.5,5150,5055,0.1,4725,8555,660,57105,40.4,0,50,100,75,300,0,10,30,15,2500,5,Ilocano,4040.08,7.71,48827.31,1.88,9.72,564.33
Sarnia--Lambton,Ontario,107077,0.6,580,470,0.1,4855,865,105,14495,45.6,0,5,10,0,20,5,0,0,0,210,0,Ilocano,4534.12,12.14,13536.99,23.40,8,98.06
Sault Ste. Marie,Ontario,79331,0.2,190,125,0,3885,605,15,12660,47.6,5,0,10,0,0,0,0,0,0,90,0,Cebuano,4897.20,2.48,15958.45,52.00,9.45,18.91
Scarborough--Agincourt,Ontario,104423,6.3,6515,5670,0.1,3440,7990,1050,28910,45.6,10,20,100,80,310,10,0,35,15,3270,15,Ilocano,3294.29,13.14,27685.47,14.90,8.02,1005.53
Scarborough Centre,Ontario,113104,13.1,14645,13815,0.1,4330,8760,1360,27210,40,35,115,250,170,675,25,25,80,30,7055,10,Ilocano,3828.33,15.53,24057.50,6.01,7.97,1202.43
Scarborough--Guildwood,Ontario,103449,8.8,9035,8030,0.2,4100,8070,805,25115,38.4,5,40,105,60,285,0,5,55,35,4620,20,Ilocano,3963.31,9.98,24277.66,12.52,5.45,778.16
Scarborough North,Ontario,94717,6.8,6375,6235,0,2960,6050,405,21660,43.2,25,40,95,45,310,0,5,25,15,3355,10,Ilocano,3125.10,6.69,22868.12,2.25,7.9,427.59
Scarborough--Rouge Park,Ontario,102254,8.9,9040,8790,0.1,4085,3670,450,25270,42,20,40,110,70,315,10,10,55,30,4410,5,Ilocano,3994.95,12.26,24712.97,2.84,6.21,440.08
Scarborough Southwest,Ontario,111994,8.6,9480,9735,0.1,3960,6990,675,28980,41.2,15,75,175,100,410,0,5,65,30,4495,5,Ilocano,3535.90,9.66,25876.39,-2.62,7.63,602.71
Simcoe--Grey,Ontario,151784,0.8,1130,665,0.1,4910,1385,130,23925,45.6,0,5,15,5,20,0,0,5,0,450,0,Ilocano,3234.86,9.39,15762.53,69.92,4,85.65
Simcoe North,Ontario,120656,0.6,675,575,0,5265,520,70,16175,50,0,5,10,0,5,0,0,0,5,310,0,Cebuano,4363.65,13.46,13405.88,17.39,2.98,58.02
Spadina--Fort York,Ontario,136213,2.6,3465,2570,0.1,5220,14920,170,82565,32.8,0,15,35,10,30,0,0,0,5,1290,0,Cebuano,3832.23,1.14,60614.63,34.82,2.53,124.80
Stormont--Dundas--South Glengarry,Ontario,104493,0.4,420,230,0.8,4400,865,85,10950,47.2,0,0,0,5,5,0,0,0,0,155,0,Hiligaynon & Ilocano,4210.81,9.83,10479.17,82.61,6.06,81.35
Sudbury,Ontario,95537,0.4,370,250,0.8,4665,1400,85,17565,43.2,5,0,15,0,30,0,0,0,0,155,0,Ilocano,4882.92,6.07,18385.55,48.00,14.63,88.97
Thornhill,Ontario,115292,4.5,5460,5150,0.1,5055,5975,785,44990,44,15,40,55,55,365,0,0,10,20,2700,10,Ilocano,4384.52,13.14,39022.66,6.02,11.16,680.88
Thunder Bay--Rainy River,Ontario,82357,0.5,365,310,0,3760,535,65,11605,44.8,0,5,10,0,10,0,0,0,0,185,0,Cebuano & Ilocano,4565.49,12.15,14091.09,17.74,9.52,78.92
Thunder Bay--Superior North,Ontario,83325,0.3,215,175,0.2,4515,820,60,15630,44.8,0,0,5,0,10,0,0,0,0,115,0,Ilocano,5418.54,7.32,18757.88,22.86,7.69,72.01
Timmins--James Bay,Ontario,80785,0.5,380,225,1.4,3210,375,70,7470,42.4,0,0,10,5,10,0,0,0,0,155,0,Cebuano & Ilocano,3973.51,18.67,9246.77,68.89,11.11,86.65
Toronto Centre,Ontario,119901,5.0,5810,5010,0.1,4905,10690,650,58605,35.2,15,45,80,80,270,0,10,25,10,2730,10,Ilocano,4090.87,6.08,48877.82,15.97,8.24,542.11
Toronto--Danforth,Ontario,105472,2.4,2560,2440,0.1,3470,3225,215,40500,41.2,0,15,15,25,60,0,0,5,5,1100,10,Ilocano,3289.97,6.67,38398.82,4.92,4.86,203.85
University--Rosedale,Ontario,106216,1.4,1390,1305,0.1,4405,6270,185,57405,37.2,5,10,15,15,25,0,0,5,0,660,10,Ilocano,4147.21,2.95,54045.53,6.51,3.36,174.17
Vaughan--Woodbridge,Ontario,106810,1.7,1785,1740,0,2415,3000,170,24930,44,0,5,15,10,65,0,0,0,0,885,5,Ilocano,2261.02,5.67,23340.51,2.59,6.6,159.16
Waterloo,Ontario,127235,1.0,1215,595,0,3750,6840,290,45600,36,5,10,25,10,25,0,0,15,10,465,10,Cebuano & Ilocano,2947.30,4.24,35839.20,104.20,8.7,227.92
Wellington--Halton Hills,Ontario,127873,0.9,1105,725,0,4145,1260,85,26535,43.6,5,0,15,5,10,0,0,10,0,355,0,Cebuano,3241.50,6.75,20751.06,52.41,3.74,66.47
Whitby,Ontario,138501,2.6,3570,2550,0.1,5100,4665,305,33265,40,0,15,35,15,50,0,0,15,0,1280,5,Ilocano,3682.28,6.54,24017.88,40.00,3.53,220.22
Willowdale,Ontario,118218,6.5,7590,6385,0.1,4860,13855,1910,57030,39.6,10,65,155,130,545,5,5,25,20,3720,10,Ilocano,4111.05,13.79,48241.38,18.87,11.62,1615.66
Windsor--Tecumseh,Ontario,122798,1.4,1675,1540,0.2,5410,4485,150,21655,44,0,15,30,10,35,0,0,5,0,760,0,Ilocano,4405.61,3.34,17634.65,8.77,4.09,122.15
Windsor West,Ontario,130162,1.4,1800,1720,0.2,5185,8580,175,28160,38.4,10,10,30,30,35,0,0,10,0,890,0,Ilocano,3983.50,2.04,21634.58,4.65,3.45,134.45
York Centre,Ontario,108307,19.3,20675,17070,0.1,5430,10040,4855,30650,41.6,35,210,375,315,1645,65,30,135,50,10245,35,Ilocano,5013.53,48.36,28299.19,21.12,12.52,4482.63
York--Simcoe,Ontario,124458,1.4,1760,1005,0,3770,2985,160,20940,40,5,20,25,0,50,0,0,0,0,665,0,Ilocano,3029.13,5.36,16824.95,75.12,6.54,128.56
York South--Weston,Ontario,116757,6.8,7820,6755,0.1,3885,7400,1405,17910,40.4,20,95,105,115,630,10,15,60,25,3685,20,Ilocano,3327.42,18.99,15339.55,15.77,13.18,1203.35
Humber River--Black Creek,Ontario,111593,8.0,8900,5955,0.1,4095,8885,2070,16310,38,15,70,155,150,770,40,10,45,25,4310,5,Ilocano,3669.59,23.30,14615.61,49.45,13.76,1854.96
Brandon--Souris,Manitoba,89812,1.9,1595,895,0,4450,3240,435,12150,38.8,0,25,60,20,20,0,0,15,0,795,5,Cebuano,4954.79,13.43,13528.26,78.21,6.38,484.35
Charleswood--St. James--Assiniboia--Headingley,Manitoba,84767,4.2,3440,2535,0,3650,2090,445,17985,44,10,15,25,25,35,0,0,20,5,1780,0,Ilocano,4305.92,21.29,21216.98,35.70,1.83,524.97
Churchill--Keewatinook Aski,Manitoba,81258,0.4,350,260,0.1,1995,870,110,5855,28.6,0,15,10,0,10,0,0,5,0,170,0,"Bisaya, n.o.s.",2455.14,12.64,7205.44,34.62,7.14,135.37
Dauphin--Swan River--Neepawa,Manitoba,89503,4.3,3655,2175,0,3355,2185,1620,7730,40.8,15,110,180,15,50,5,5,40,5,2100,20,Cebuano,3748.48,74.14,8636.58,68.05,7.07,1810.00
Elmwood--Transcona,Manitoba,101691,8.6,8655,6765,0.2,4445,5660,1060,16190,38,40,50,140,35,105,0,5,135,15,4525,5,Cebuano,4371.08,18.73,15920.78,27.94,2.77,1042.37
Kildonan--St. Paul,Manitoba,91480,12.7,11450,8095,0,4310,3820,1190,19190,41.6,15,20,105,35,185,0,0,145,20,5615,0,Ilocano,4711.41,31.15,20977.26,41.45,3.01,1300.83
Portage--Lisgar,Manitoba,100417,2.2,2040,930,0,3815,3305,1015,10660,36,0,25,40,10,35,0,0,15,0,1195,10,Cebuano,3799.16,30.71,10615.73,119.35,3.01,1010.79
Provencher,Manitoba,109445,2.0,2170,1480,0.2,3595,1930,500,11865,36.4,5,20,70,10,60,0,0,20,5,1145,0,Cebuano,3284.75,25.91,10841.06,46.62,5.24,456.85
Saint Boniface--Saint Vital,Manitoba,95514,3.6,3375,2540,0.6,4665,5335,450,23975,40.8,0,15,30,35,60,0,5,20,5,1605,0,Ilocano,4884.10,8.43,25101.03,32.87,3.38,471.14
Selkirk--Interlake--Eastman,Manitoba,101373,0.8,770,515,0,3970,760,70,10225,46.8,0,5,10,0,5,0,0,5,0,350,0,Cebuano,3916.23,9.21,10086.51,49.51,2.66,69.05
Winnipeg Centre,Manitoba,87499,19.6,16585,16925,0.2,3710,6525,1395,18330,36.4,25,85,175,95,275,0,5,150,50,9705,10,Ilocano,4240.05,21.38,20948.81,-2.01,2.6,1594.30
Winnipeg North,Manitoba,101221,33.1,33060,30740,0,4655,7385,2750,17650,36,35,130,230,100,525,5,0,410,65,18160,25,Ilocano,4598.85,37.24,17437.09,7.55,2.67,2716.83
Winnipeg South,Manitoba,113370,3.4,3795,2870,0.1,5505,10500,240,35480,36.4,15,20,25,35,55,5,0,10,10,1790,15,Ilocano,4855.78,2.29,31295.76,32.23,2.78,211.70
Winnipeg South Centre,Manitoba,94803,3.6,3365,3100,0.1,5460,4765,420,34795,40.8,15,25,40,35,90,0,5,10,0,1605,5,Ilocano,5759.31,8.81,36702.43,8.55,4.92,443.02
Battlefords--Lloydminster,Saskatchewan,70918,5.0,3430,3000,0,2870,1570,890,6725,38.4,5,40,80,35,60,10,0,40,10,1820,20,Cebuano,4046.93,56.69,9482.78,14.33,3.77,1254.97
Cypress Hills--Grasslands,Saskatchewan,68314,3.5,2195,1555,0,2670,1720,790,6915,43.6,5,20,70,30,30,0,0,40,0,1240,0,Cebuano,3908.42,45.93,10122.38,41.16,4.88,1156.42
