Electoral District (2013 Representation Order),Province/Territory,Population (2021 Census),% Filipinos,Number of Filipinos (2021 Census),Number of Filipinos (2016 Census),% of Population with Knowledge of French,Healthcare Workers (NOC Classification),Number of Recent Immigrants (2016-2021),Recent Immigrants from PH (2016-2021),Number of People with Bachelors Degree or Higher,Median Age,Bikol Mother Tongue,"Bisaya, n.o.s. Mother Tongue",Cebuano Mother Tongue,Hiligaynon Mother Tongue,Ilocano Mother Tongue,Kankanaey Mother Tongue,Kinaray-a Mother Tongue,Pampangan Mother Tongue,Pangasinan Mother Tongue,Tagalog Mother Tongue,Waray-Waray Mother Tongue,Second Most Spoken Philippine Language,"Healthcare Workers (per 100,000)",% of Recent Immigrants from PH (2016-2021),"Number of People with Bachelors Degree or Higher (per 100,000)",Filipino Growth Rate % (2016-2021),% Second Most Spoken Philippine Language,"Recent Migrants from the Philippines per 100,000"
Drummond,Quebec,107967,0.1,75,15,69.6,3950,990,0,10815,44,0,0,5,0,0,0,0,0,0,55,0,Cebuano,3658.53,0.00,10016.95,400.00,8.21,0.00
Gaspésie--Les Îles-de-la-Madeleine,Quebec,75927,0.0,35,10,69.6,3490,210,0,7630,54.4,0,0,0,0,0,0,0,0,0,35,0,NONE,4596.52,0.00,10049.13,250.00,0,0.00
Gatineau,Quebec,107286,0.2,230,165,31.9,3905,2440,80,16680,42,0,5,10,5,0,0,0,0,0,105,0,Cebuano,3639.80,3.28,15547.23,39.39,7.95,74.57
Hochelaga,Quebec,108264,0.2,210,135,38.2,4730,5050,20,30790,38.8,0,0,0,0,0,0,0,0,0,85,0,NONE,4368.95,0.40,28439.74,55.56,0,18.47
Honoré-Mercier,Quebec,104578,0.1,130,145,39.7,5045,3815,0,14175,43.6,0,0,0,0,0,0,0,0,0,40,0,NONE,4824.15,0.00,13554.48,-10.34,0,0.00
Hull--Aylmer,Quebec,110881,0.8,850,315,18.7,3970,5145,540,26100,40.4,0,20,70,30,5,0,0,5,0,300,0,Cebuano,3580.42,10.50,23538.75,169.84,16.25,487.01
Joliette,Quebec,112418,0.1,70,45,67,4665,570,10,8625,50.4,0,0,0,0,0,0,0,0,0,40,0,NONE,4149.69,1.75,7672.26,55.56,0,8.90
Jonquière,Quebec,91073,0.0,40,25,78.2,4090,150,10,8400,45.2,0,0,0,0,0,0,0,0,0,15,0,NONE,4490.90,6.67,9223.37,60.00,0,10.98
La Pointe-de-l'Île,Quebec,110486,0.1,150,35,52.3,4650,3050,15,14730,43.2,0,0,0,0,5,0,0,0,0,35,0,Ilocano,4208.68,0.49,13332.01,328.57,12.5,13.58
La Prairie,Quebec,114968,0.3,315,190,39.1,4505,2350,20,20445,41.6,0,0,5,5,5,0,0,0,0,90,0,Mixed (more than two),3918.48,0.85,17783.21,65.79,14.29,17.40
Lac-Saint-Jean,Quebec,103886,0.0,50,30,83.3,4185,135,10,7470,48.8,0,0,0,0,0,0,0,0,0,0,0,NONE,4028.45,7.41,7190.57,66.67,0,9.63
Lac-Saint-Louis,Quebec,110093,1.9,2030,1665,4.3,3800,4145,255,28760,46,15,15,25,10,100,0,0,5,5,825,5,Ilocano,3451.63,6.15,26123.37,21.92,9.95,231.62
LaSalle--Émard--Verdun,Quebec,107564,0.8,825,815,22.9,4120,4320,85,26765,39.6,10,15,20,20,25,0,5,0,5,290,0,Ilocano,3830.28,1.97,24882.86,1.23,6.41,79.02
Laurentides--Labelle,Quebec,123796,0.1,140,50,53.7,4890,455,25,12375,55.2,0,0,0,0,0,0,0,0,0,25,0,NONE,3950.05,5.49,9996.28,180.00,0,20.19
Laurier--Sainte-Marie,Quebec,116932,0.3,310,155,21.3,4495,7315,40,53475,35.2,0,5,20,10,5,0,0,0,0,110,0,Cebuano,3844.11,0.55,45731.71,100.00,13.27,34.21
Laval--Les Îles,Quebec,111784,0.6,665,390,22.5,3735,4610,60,22155,43.2,0,0,5,5,25,0,0,0,0,295,0,Ilocano,3341.27,1.30,19819.47,70.51,7.58,53.67
Longueuil--Charles-LeMoyne,Quebec,112257,0.4,475,270,42.5,4680,5450,30,20235,40,5,5,5,10,20,0,0,0,0,155,0,Ilocano,4169.01,0.55,18025.60,75.93,10,26.72
Lévis--Lotbinière,Quebec,118608,0.0,55,30,64.3,5225,580,0,20055,41.6,0,5,0,0,5,0,0,0,0,25,0,"Bisaya, n.o.s. & Ilocano",4405.27,0.00,16908.64,83.33,28.57,0.00
Longueuil--Saint-Hubert,Quebec,115082,0.2,270,175,44.8,5035,3950,20,25315,42.8,0,0,20,5,0,0,0,0,0,95,0,Cebuano,4375.14,0.51,21997.36,54.29,16.56,17.38
Louis-Hébert,Quebec,111322,0.1,95,50,44.8,5835,3715,10,41630,42.8,0,0,5,0,0,0,0,0,0,35,0,Cebuano,5241.55,0.27,37396.02,90.00,12.23,8.98
Louis-Saint-Laurent,Quebec,123123,0.1,100,45,59.9,5700,1465,25,23525,43.2,0,0,5,0,0,0,0,0,0,25,0,Cebuano,4629.52,1.71,19106.91,122.22,16.22,20.30
Manicouagan,Quebec,88525,0.1,120,15,73.8,3340,280,45,7710,46.4,0,0,0,0,0,0,0,0,0,45,0,NONE,3772.95,16.07,8709.40,700.00,0,50.83
Mégantic--L'Érable,Quebec,88894,0.1,75,10,77,3305,235,0,7165,50.8,0,0,0,0,0,0,0,0,0,60,0,NONE,3717.91,0.00,8060.16,650.00,0,0.00
Mirabel,Quebec,132930,0.1,110,45,53.2,5310,885,0,14855,38.8,0,0,0,0,5,0,0,0,0,40,0,Ilocano,3994.58,0.00,11175.05,144.44,11.11,0.00
Montarville,Quebec,100515,0.2,150,95,40.1,4180,1400,0,25200,43.6,0,0,5,0,0,0,0,0,0,45,0,Cebuano,4158.58,0.00,25070.88,57.89,9.82,0.00
Montcalm,Quebec,118746,0.1,105,25,62.4,4765,595,10,10210,40,0,0,0,0,0,0,0,0,0,35,0,NONE,4012.77,1.68,8598.18,320.00,0,8.42
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Quebec,96724,0.1,125,40,79.1,3675,285,25,9875,50.8,0,0,5,0,0,0,0,0,0,45,0,Cebuano,3799.47,8.77,10209.46,212.50,9.82,25.85
Mount Royal,Quebec,108494,12.3,13180,11900,8,5905,9490,3315,39260,40.4,35,165,330,235,975,10,10,95,35,5445,20,Ilocano,5442.70,34.93,36186.33,10.76,13.26,3055.47
Notre-Dame-de-Grâce--Westmount,Quebec,105601,2.7,2775,2320,6.6,5010,6500,540,45570,41.2,10,30,70,35,145,0,0,20,10,1105,0,Ilocano,4744.27,8.31,43153.00,19.61,10.18,511.36
Outremont,Quebec,103620,3.1,3155,2715,14.3,4320,7265,820,44355,34,5,40,125,60,160,0,0,20,15,1205,5,Ilocano,4169.08,11.29,42805.44,16.21,9.79,791.35
Papineau,Quebec,110813,0.3,300,315,26.7,4175,6400,65,33025,36.8,0,0,15,5,20,0,0,0,0,115,0,Ilocano,3767.61,1.02,29802.46,-4.76,12.9,58.66
Pierrefonds--Dollard,Quebec,109497,4.3,4665,4000,8.9,4320,4715,650,29245,43.2,15,30,50,40,195,0,0,25,10,1750,0,Ilocano,3945.31,13.79,26708.49,16.63,9.22,593.62
Pontiac,Quebec,129781,0.3,355,110,23.6,4780,2495,165,27040,41.2,0,0,5,0,5,0,0,0,5,130,0,Mixed (more than two),3683.13,6.61,20835.10,222.73,10.34,127.14
Portneuf--Jacques-Cartier,Quebec,123243,0.0,25,40,61.9,5330,445,10,20805,42,0,0,0,0,0,0,0,0,0,15,0,NONE,4324.79,2.25,16881.28,-37.50,0,8.11
Québec,Quebec,98772,0.2,160,65,49.4,4570,2650,45,30320,44.4,0,0,5,0,0,0,0,0,0,60,0,Cebuano,4626.82,1.70,30696.96,146.15,7.58,45.56
Repentigny,Quebec,119204,0.1,65,50,57.1,5995,935,0,15990,43.6,0,0,5,0,0,0,0,0,0,15,0,Cebuano,5029.19,0.00,13413.98,30.00,24.1,0.00
Richmond--Arthabaska,Quebec,110651,0.1,80,50,69.8,4315,470,10,11235,46.4,0,5,0,0,0,0,0,0,0,40,0,"Bisaya, n.o.s.",3899.65,2.13,10153.55,60.00,11.11,9.04
Rivière-des-Mille-Îles,Quebec,105589,0.2,175,110,39.7,4075,1165,20,16895,43.2,0,0,5,5,10,0,0,0,0,60,0,Ilocano,3859.30,1.72,16000.72,59.09,12.5,18.94
Rivière-du-Nord,Quebec,122654,0.1,70,40,58.6,5180,915,0,12705,43.6,0,0,5,0,0,0,0,0,0,20,0,Cebuano,4223.26,0.00,10358.41,75.00,19.38,0.00
Rosemont--La Petite-Patrie,Quebec,112909,0.2,200,80,31.7,4855,4370,35,43095,43095,5,0,5,0,0,0,0,0,0,50,0,Cebuano,4299.92,0.80,38167.91,150.00,8.22,31.00
Marc-Aurèle-Fortin,Quebec,104636,0.3,355,145,34.3,4595,2395,20,21830,21830,0,0,0,0,10,0,0,5,0,115,0,Ilocano,4391.41,0.84,20862.80,144.83,7.69,19.11
Saint-Hyacinthe--Bagot,Quebec,105086,0.0,25,15,71.5,4565,1265,0,9755,9755,0,0,5,0,0,0,0,0,0,10,0,Cebuano,4344.06,0.00,9282.87,66.67,31.91,0.00
Saint-Jean,Quebec,114617,0.1,90,65,56.3,4905,825,20,13810,13810,0,0,0,0,0,0,0,0,0,35,0,NONE,4279.47,2.42,12048.82,38.46,0,17.45
Saint-Laurent,Quebec,102104,2.0,2065,1670,17.4,4305,10365,415,30785,30785,15,25,40,30,145,0,5,0,5,905,0,Ilocano,4216.29,4.00,30150.63,23.65,12.39,406.45
Saint-Léonard--Saint-Michel,Quebec,115553,0.1,170,130,42.7,4810,7135,20,17475,40.4,0,0,5,0,5,0,0,0,0,60,0,Cebuano & Ilocano,4162.59,0.28,15122.93,30.77,14.29,17.31
Saint-Maurice--Champlain,Quebec,111997,0.0,15,50,75.8,4825,360,0,10850,51.6,0,0,5,0,0,0,0,0,0,15,0,Cebuano,4308.15,0.00,9687.76,-70.00,24.1,0.00
Salaberry--Suroît,Quebec,119351,0.2,190,70,50.9,4965,465,25,10515,45.2,0,5,5,0,0,0,0,0,0,50,0,Cebuano,4160.00,5.38,8810.15,171.43,8.22,20.95
Shefford,Quebec,115924,0.1,85,30,62,4255,955,0,12225,45.6,0,0,0,0,0,0,0,0,0,55,0,NONE,3670.51,0.00,10545.70,183.33,0,0.00
Sherbrooke,Quebec,119038,0.2,175,45,51.1,6870,3450,0,24760,41.6,0,0,0,0,5,0,0,0,0,85,0,Ilocano,5771.27,0.00,20800.08,288.89,5.56,0.00
Vaudreuil--Soulanges,Quebec,129612,1.6,2070,1175,18.9,4800,2240,230,25555,42.4,0,10,10,5,60,0,0,5,0,630,5,Ilocano,3703.36,10.27,19716.54,76.17,8.28,177.45
Terrebonne,Quebec,119944,0.1,80,40,53.6,6070,1170,20,15170,40.8,0,5,5,0,0,0,0,0,0,25,0,Cebuano,5060.69,1.71,12647.57,100.00,14,16.67
Trois-Rivières,Quebec,114064,0.1,115,30,65.6,5585,1385,35,18990,47.6,0,5,0,0,0,0,0,0,0,50,0,"Bisaya, n.o.s.",4896.37,2.53,16648.55,283.33,9.09,30.68
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Quebec,134555,0.5,660,505,11.3,5595,9720,85,65650,34.8,0,5,15,5,10,0,0,0,0,240,0,Cebuano,4158.15,0.87,48790.46,30.69,5.44,63.17
Vimy,Quebec,119926,0.3,365,285,33.1,4465,7210,50,24725,42.8,0,5,10,5,25,0,0,0,10,170,0,Ilocano,3723.13,0.69,20616.88,28.07,11.11,41.69
Ajax,Ontario,126666,5.3,6670,5685,0.1,4730,5010,290,30210,38.4,5,30,85,40,140,0,0,50,10,2840,5,Ilocano,3734.23,5.79,23850.13,17.33,4.37,228.95
Algoma--Manitoulin--Kapuskasing,Ontario,80310,0.2,170,75,3.2,2900,195,50,7775,52,0,0,0,0,0,0,0,0,0,65,0,NONE,3611.01,25.64,9681.24,126.67,0,62.26
Aurora--Oak Ridges--Richmond Hill,Ontario,118883,1.4,1695,1625,0,4055,6425,170,43505,42.4,0,10,20,20,75,0,0,5,0,765,0,Ilocano,3410.92,2.65,36594.80,4.31,8.38,143.00
Barrie--Innisfil,Ontario,120378,1.3,1520,990,0.1,4760,2515,185,18820,39.6,0,10,30,15,55,0,0,5,0,630,0,Ilocano,3954.21,7.36,15634.09,53.54,7.38,153.68
Barrie--Springwater--Oro-Medonte,Ontario,106871,0.9,915,425,0,5120,1705,140,18760,41.6,0,5,10,5,50,0,0,0,5,390,0,Ilocano,4790.82,8.21,17553.87,115.29,10.75,131.00
Bay of Quinte,Ontario,116016,0.6,645,355,0.1,4290,860,125,15875,48.4,0,10,20,10,15,0,0,0,0,255,5,Cebuano,3697.77,14.53,13683.46,81.69,6.33,107.74
Beaches--East York,Ontario,109359,3.3,3565,3455,0.1,3415,5185,375,38480,41.2,5,25,35,50,105,10,0,10,5,1560,10,Ilocano,3122.74,7.23,35186.86,3.18,5.79,342.91
Brampton Centre,Ontario,104557,5.1,5330,4955,0.1,2665,8270,570,21035,37.6,20,50,100,65,155,0,0,55,5,2745,10,Ilocano,2548.85,6.89,20118.21,7.57,4.84,545.16
Brampton East,Ontario,131677,1.5,2000,1915,0,4575,7625,135,32720,35.6,0,10,20,10,85,0,0,10,5,780,0,Ilocano,3474.41,1.77,24848.68,4.44,9.24,102.52
Brampton North,Ontario,125141,3.0,3670,3260,0.1,3885,8925,285,29625,36.8,10,15,45,20,120,0,0,25,10,1720,5,Ilocano,3104.50,3.19,23673.30,12.58,6.09,227.74
Brampton South,Ontario,132752,3.5,4510,4105,0.1,3705,9790,395,28225,36.8,0,20,85,45,120,0,0,50,10,2105,0,Ilocano,2790.92,4.03,21261.45,9.87,4.93,297.55
Brampton West,Ontario,162353,3.4,5550,5870,0.1,5395,15475,245,38320,33.6,5,30,65,40,140,5,0,45,15,2560,5,Ilocano,3323.01,1.58,23602.89,-5.45,4.81,150.91
Brantford--Brant,Ontario,140139,1.0,1380,820,0,5165,2255,130,15100,41.6,0,5,15,15,50,0,0,0,0,600,10,Ilocano,3685.63,5.76,10775.02,68.29,7.19,92.77
Bruce--Grey--Owen Sound,Ontario,113348,0.2,270,155,0,4630,595,25,8955,49.2,0,0,0,5,10,0,0,0,0,100,0,Ilocano,4084.77,4.20,7900.45,74.19,8.7,22.06
Burlington,Ontario,125435,1.6,1940,1895,0,4655,3555,325,26330,46,0,30,45,10,65,5,0,15,0,835,5,Ilocano,3711.09,9.14,20990.95,2.37,6.44,259.10
Cambridge,Ontario,121301,1.2,1445,980,0.1,3855,3345,195,15260,40,0,15,35,5,50,0,0,5,5,615,0,Ilocano,3178.04,5.83,12580.28,47.45,6.85,160.76
Chatham-Kent--Leamington,Ontario,113654,0.6,705,410,0.1,4095,1995,100,8545,44.8,0,5,15,10,25,10,0,0,0,775,0,Ilocano,3603.04,5.01,7518.43,71.95,2.98,87.99
Davenport,Ontario,105946,3.0,3150,2785,0.1,2825,4275,265,30840,38.4,0,20,55,20,150,0,10,10,5,1325,5,Ilocano,2666.45,6.20,29109.17,13.11,9.38,250.13
Don Valley East,Ontario,95039,7.6,7175,6900,0.1,3320,9385,1180,22925,41.6,20,50,110,85,355,10,5,40,15,3415,10,Ilocano,3493.30,12.57,24121.68,3.99,8.63,1241.60
Don Valley North,Ontario,113663,5.0,5680,5230,0.1,4260,11765,865,38535,40.8,20,65,110,80,255,0,5,15,10,2820,15,Ilocano,3747.92,7.35,33902.85,8.60,7.51,761.02
Don Valley West,Ontario,101959,3.5,3510,3140,0.1,4615,7095,505,46215,41.6,5,25,35,55,120,10,10,15,10,1725,0,Ilocano,4526.33,7.12,45327.04,11.78,5.97,495.30
Dufferin--Caledon,Ontario,142838,1.0,1435,1010,0,4330,2325,220,26565,40.8,0,5,20,25,40,0,0,10,0,570,0,Ilocano,3031.41,9.46,18597.99,42.08,5.97,154.02
Durham,Ontario,150235,1.6,2320,1350,0.1,6305,3640,155,27070,38.4,5,10,30,25,40,0,0,15,0,845,0,Ilocano,4196.76,4.26,18018.44,71.85,4.12,103.17
Eglinton--Lawrence,Ontario,115832,10.9,12465,12045,0,5860,7190,2655,45065,41.2,25,170,255,230,940,15,25,65,50,6135,25,Ilocano,5059.05,36.93,38905.48,3.49,11.85,2292.11
Elgin--Middlesex--London,Ontario,126428,0.5,640,275,0,5235,1485,50,16505,42.8,0,5,15,0,15,0,0,0,5,275,0,Cebuano & Ilocano,4140.70,3.37,13054.86,132.73,9.52,39.55
Essex,Ontario,134656,0.6,765,580,0,6400,1480,10,24830,44,0,5,10,0,5,0,0,0,0,320,0,Cebuano,4752.85,0.68,18439.58,31.90,2.93,7.43
Etobicoke Centre,Ontario,118483,2.9,3455,2835,0.1,3995,4795,530,37540,45.6,0,25,45,65,95,0,0,10,5,1630,15,Ilocano,3371.79,11.05,31683.87,21.87,5.03,447.32
Etobicoke--Lakeshore,Ontario,141751,3.2,4490,4255,0.1,5270,9085,560,54175,40.8,10,20,75,35,120,0,0,20,5,2175,5,Ilocano,3717.79,6.16,38218.43,5.52,4.87,395.06
Etobicoke North,Ontario,116003,4.9,5620,4460,0.1,3945,9430,730,22120,38,10,45,95,45,335,20,0,20,30,2770,15,Ilocano,3400.77,7.74,19068.47,26.01,9.9,629.29
Flamborough--Glanbrook,Ontario,125692,1.3,1660,905,0.1,5640,3010,160,25745,39.6,0,5,30,15,20,0,0,10,0,690,0,Cebuano,4487.16,5.32,20482.61,83.43,3.89,127.30
Glengarry--Prescott--Russell,Ontario,116463,0.4,410,200,8.5,4090,685,50,16690,45.6,0,5,10,5,0,0,0,0,0,125,0,Cebuano,3511.84,7.30,14330.73,105.00,6.86,42.93
Guelph,Ontario,143740,2.7,3810,2845,0,5465,5855,545,39955,38.4,5,45,80,45,90,5,0,25,0,1770,0,Ilocano,3802.00,9.31,27796.72,33.92,4.36,379.16
Haldimand--Norfolk,Ontario,116706,0.4,505,240,0,4100,750,100,11830,46.4,0,5,0,5,20,0,0,0,0,200,0,Ilocano,3513.10,13.33,10136.58,110.42,8.7,85.69
Haliburton--Kawartha Lakes--Brock,Ontario,122401,0.3,335,240,0,4475,310,20,15210,52.4,0,0,0,5,5,0,0,0,0,140,0,Hiligaynon & Ilocano,3656.02,6.45,12426.37,39.58,6.67,16.34
Hamilton Centre,Ontario,106439,2.1,2140,1540,0.1,4825,5105,425,23310,37.6,0,15,25,10,75,5,0,10,0,920,10,Ilocano,4533.11,8.33,21899.87,38.96,7.01,399.29
Hamilton East--Stoney Creek,Ontario,112028,1.5,1645,950,0.1,4055,3645,310,16160,43.2,0,35,35,10,50,5,0,5,5,655,0,Ilocano,3619.63,8.50,14424.97,73.16,6.25,276.72
Hamilton Mountain,Ontario,107629,4.2,4425,3505,0.1,5515,4225,650,16835,41.2,15,20,55,30,175,0,10,30,10,2160,5,Ilocano,5124.08,15.38,15641.70,26.25,6.97,603.93
Hamilton West--Ancaster--Dundas,Ontario,117565,1.6,1865,1250,0,6710,4160,255,36435,42.8,5,5,30,10,55,0,0,10,0,670,5,Ilocano,5707.48,6.13,30991.37,49.20,6.96,216.90
Hastings--Lennox and Addington,Ontario,100636,0.3,330,240,0.1,3910,345,15,11235,49.2,0,5,5,0,10,0,0,0,0,125,0,Ilocano,3885.29,4.35,11164.00,37.50,6.9,14.91
Huron--Bruce,Ontario,112929,0.4,410,210,0,3840,605,50,14475,46,5,15,15,10,10,0,0,0,0,175,0,"Bisaya, n.o.s., & Cebuano",3400.37,8.26,12817.79,95.24,13.04,44.28
Kanata--Carleton,Ontario,116651,1.0,1195,1125,0.4,4235,5210,90,39295,42,0,15,30,10,50,0,0,5,0,540,0,Ilocano,3630.49,1.73,33685.95,6.22,7.69,77.15
Kenora,Ontario,64261,0.7,465,365,0.1,2250,285,110,6280,38.4,5,0,25,0,20,0,0,0,0,205,5,Cebuano,3501.35,38.60,9772.65,27.40,9.59,171.18
King--Vaughan,Ontario,147695,2.1,3100,2745,0,4680,5880,220,43065,39.2,0,10,15,5,95,5,0,15,0,1410,10,Ilocano,3168.69,3.74,29158.06,12.93,6.07,148.96
Kingston and the Islands,Ontario,126106,0.8,1040,750,0.2,7535,2615,150,33095,41.2,0,5,20,10,50,0,0,10,0,510,5,Ilocano,5975.13,5.74,26243.79,38.67,8.2,118.95
Kitchener Centre,Ontario,113452,0.8,890,575,0,3885,7195,165,25565,38.4,0,25,30,20,25,0,0,0,0,385,5,Cebuano,3424.36,2.29,22533.76,54.78,6.11,145.44
Kitchener--Conestoga,Ontario,107134,0.6,660,430,0,3870,3375,60,21290,38.4,0,0,20,5,5,0,5,0,0,290,0,Cebuano,3612.30,1.78,19872.31,53.49,6.14,56.00
Kitchener South--Hespeler,Ontario,119851,1.5,1785,1035,0,4390,7090,305,25635,36.8,0,45,30,25,30,0,5,0,5,830,0,Ilocano,3662.88,4.30,21389.06,72.46,3.09,254.48
Lambton--Kent--Middlesex,Ontario,111242,0.3,345,135,0,4895,565,60,13855,45.2,0,0,5,5,10,0,0,0,0,140,0,Ilocano,4400.32,10.62,12454.83,155.56,6.25,53.94
Lanark--Frontenac--Kingston,Ontario,111424,0.2,265,145,0.1,4590,480,15,17155,49.6,0,0,5,5,10,0,0,0,0,90,0,Ilocano,4119.40,3.13,15396.14,82.76,9.09,13.46
Leeds--Grenville--Thousand Islands and Rideau Lakes,Ontario,104070,0.3,285,285,0.1,4275,470,40,14990,50.8,0,5,5,0,5,0,0,0,0,95,0,Mixed (more than two),4107.81,8.51,14403.77,0.00,13.64,38.44
London--Fanshawe,Ontario,127068,2.0,2530,1365,0.1,5130,5610,285,16300,38.8,5,25,90,30,100,5,0,10,0,1090,5,Ilocano,4037.21,5.08,12827.78,85.35,7.35,224.29
London North Centre,Ontario,138255,1.6,2185,1350,0.1,7225,7230,270,41040,37.2,0,10,95,25,70,0,0,10,0,1010,5,Cebuano,5225.85,3.73,29684.28,61.85,7.75,195.29
London West,Ontario,139305,0.8,1085,720,0.1,7015,6225,65,39410,40.4,5,10,20,15,40,0,0,0,0,380,0,Ilocano,5035.71,1.04,28290.44,50.69,8.51,46.66
Markham--Stouffville,Ontario,135944,3.6,4825,4305,0,4430,5005,225,40645,41.2,5,25,45,55,80,0,0,25,0,1860,5,Ilocano,3258.69,4.50,29898.34,12.08,3.81,165.51
Markham--Thornhill,Ontario,97510,2.7,2645,2835,0,3090,4845,165,27105,43.6,5,5,45,20,85,0,0,20,15,1275,10,Ilocano,3168.91,3.41,27797.15,-6.70,5.74,169.21
Markham--Unionville,Ontario,128308,1.4,1855,1910,0,4045,8155,95,46715,42,0,5,5,10,35,0,0,5,0,945,5,Ilocano,3152.57,1.16,36408.49,-2.88,3.47,74.04
Milton,Ontario,136993,3.9,5310,4210,0.1,4570,9135,445,41540,36,5,25,55,40,85,5,0,20,0,2020,0,Ilocano,3335.94,4.87,30322.72,26.13,3.77,324.83
Mississauga Centre,Ontario,127377,6.1,7715,7470,0.1,3865,13830,570,45865,38.8,25,30,100,70,120,10,5,50,10,3755,20,Ilocano,3034.30,4.12,36007.29,3.28,2.86,447.49
Mississauga East--Cooksville,Ontario,116346,7.4,8560,7960,0.1,3700,8655,760,29905,43.2,20,55,160,85,200,5,0,60,15,4155,20,Ilocano,3180.17,8.78,25703.51,7.54,4.19,653.22
Mississauga--Erin Mills,Ontario,123371,4.8,5830,5940,0.1,4710,9590,385,45320,40,5,15,50,25,90,0,5,30,5,2675,5,Ilocano,3817.75,4.01,36734.73,-1.85,3.1,312.07
Mississauga--Lakeshore,Ontario,117095,3.3,3770,3215,0.1,3885,4835,520,36720,44,5,35,45,20,105,0,0,35,15,1775,5,Ilocano,3317.82,10.75,31359.15,17.26,5.15,444.08
Mississauga--Malton,Ontario,116908,5.5,6400,6325,0.1,3615,8690,395,33970,37.6,20,30,80,45,155,0,0,55,5,3220,15,Ilocano,3092.18,4.55,29057.04,1.19,4.28,337.87
Mississauga--Streetsville,Ontario,116864,5.2,6075,5660,0.1,3950,6900,425,38855,40.8,15,20,80,55,80,0,0,45,0,2755,0,Cebuano & Ilocano,3380.00,6.16,33248.05,7.33,5.25,363.67
Nepean,Ontario,132769,2.0,2690,2085,0.5,5380,6900,195,41825,38.4,0,25,65,40,160,0,5,10,0,1180,10,Ilocano,4052.15,2.83,31502.08,29.02,10.7,146.87
Newmarket--Aurora,Ontario,127134,2.1,2700,2375,0,4055,5155,455,36375,41.2,10,40,50,15,85,10,5,5,10,1235,10,Ilocano,3189.55,8.83,28611.54,13.68,5.76,357.89
Niagara Centre,Ontario,119809,1.0,1155,410,0.1,4950,1850,100,16725,43.6,0,10,25,15,35,0,0,0,5,510,0,Ilocano,4131.58,5.41,13959.72,181.71,5.83,83.47
Niagara Falls,Ontario,146404,2.3,3275,1990,0,5445,3270,425,24770,48,5,25,85,40,65,0,0,10,5,1575,10,Cebuano,3719.16,13.00,16918.94,64.57,4.67,290.29
Niagara West,Ontario,96946,0.5,510,275,0,3990,790,60,18390,45.2,0,0,5,5,5,0,0,0,0,170,0,Mixed (more than two),4115.69,7.59,18969.32,85.45,8.11,61.89
Nickel Belt,Ontario,94947,0.1,90,115,1.4,4455,300,10,11075,45.6,0,0,0,0,0,0,0,0,0,35,0,NONE,4692.09,3.33,11664.40,-21.74,0,10.53
